"Story","Title","Result","Date","Stability","Duration (s)"
"Login Zapatoca - Mi Aguila","Seleccionar boton ingresar sin credenciales de usuario y clave","SUCCESS","2022-07-17T20:08:39.407201-05:00[America/Bogota]","0.0","39.79"
"Login Zapatoca - Mi Aguila","Ingreso exitoso al portal zapatoca mi aguila","SUCCESS","2022-07-18T17:39:23.7072916-05:00[America/Bogota]","0.0","46.45"
"Realizar compra de productos","Realizar compra de productos","SUCCESS","2022-07-18T17:26:58.4872644-05:00[America/Bogota]","0.0","303.23"
